City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
201,Cherskiy,RU,62.71,few clouds,68.75,161.3,Gostinitsa
203,Dingle,PH,81.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
204,Champasak,LA,72.61,light rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
205,Haysville,US,87.69,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
207,Santa Isabel Do Rio Negro,BR,73.22,broken clouds,-0.4139,-65.0192,Hotel GSA
209,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
210,Nador,MA,73.65,overcast clouds,35.174,-2.9287,Hôtel La Giralda
211,Horsham,GB,71.08,clear sky,51.06399999999999,-0.3272,Springfields Hotel
212,Ayan,RU,63.7,overcast clouds,56.45,138.1667,Gostinitsa
213,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
214,Hambantota,LK,80.01,overcast clouds,6.1241,81.1185,Bungalow 63
215,Kloulklubed,PW,84.85,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
216,Kashan,IR,90.5,broken clouds,33.9831,51.4364,Manouchehri Traditional House
217,Faanui,PF,79.07,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Vygonichi,RU,57.31,few clouds,53.0985,34.0673,Tarpan
219,Komsomolskiy,UZ,72.82,clear sky,40.4272,71.7189,Ikathouse
223,Acarau,BR,78.84,few clouds,-2.8856,-40.12,castelo pizzaria
224,Auchi,NG,71.19,overcast clouds,7.0667,6.2667,LECKY PLACE & HOTEL
227,Tazovskiy,RU,57.2,light rain,67.4667,78.7,TazHostel
229,Onega,RU,51.17,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
231,Sarny,UA,55.85,scattered clouds,51.338,26.6019,Luxury Square
232,Padang,ID,73.45,broken clouds,-0.9492,100.3543,Mercure Padang
233,Cidreira,BR,53.8,clear sky,-30.1811,-50.2056,Hotel Castelo
234,Severo-Kurilsk,RU,52.88,scattered clouds,50.6789,156.125,Kak Doma
235,Myitkyina,MM,76.06,light rain,25.3833,97.4,Shwe Phyu Hotel
236,Luganville,VU,82.2,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
237,Honiara,SB,85.75,scattered clouds,-9.4333,159.95,Heritage Park Hotel
240,Shetpe,KZ,82.67,few clouds,44.1667,52.1167,Rtsm Shetpe Analog
241,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
242,Zaysan,KZ,73.6,overcast clouds,47.4667,84.8667,Ерлан үй
243,Alto Araguaia,BR,67.19,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
245,Westport,US,77.27,few clouds,41.1415,-73.3579,The Westport Inn
246,Aleksandrov Gay,RU,77.95,few clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
247,Petropavlovskoye,RU,62.15,few clouds,52.0712,84.10700000000001,Zarya Hotel
248,Jalu,LY,79.61,clear sky,29.0331,21.5482,صاحبة الفخامة
249,Khatanga,RU,53.98,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
251,Salalah,OM,76.86,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
252,Nicoya,CR,87.35,overcast clouds,10.1483,-85.45200000000001,Guayacan Real
253,Sao Jose Da Coroa Grande,BR,74.44,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
254,Norfolk,US,76.87,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
255,Mangrol,IN,82.2,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
256,Pedro Ii,BR,75.34,clear sky,-4.4247,-41.4586,Opala Hotel Pedro II
258,Foz,ES,67.08,overcast clouds,43.5692,-7.2544,Hotel Balcón de San Bartolo
259,Manoel Urbano,BR,73.72,clear sky,-8.8389,-69.2597,Baixada Beira Rio
260,Kerrville,US,84.61,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
262,Gyorujbarat,HU,64.96,clear sky,47.6064,17.6488,Szél Fiai Fogadó & Cellárium - Prisztóka Pincészet
263,Port Macquarie,AU,57.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
264,Ngunguru,NZ,64.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
265,Cap Malheureux,MU,68.49,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
266,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
267,Obuasi,GH,68.97,scattered clouds,6.206,-1.6619,Mawuli Hotel
268,Chifeng,CN,77.81,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
269,Kushima,JP,81.91,overcast clouds,31.4583,131.2333,Hanaoka
270,Richards Bay,ZA,58.96,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
272,Itaituba,BR,80.76,few clouds,-4.2761,-55.9836,Hotel Campos
273,Hofn,IS,59.49,clear sky,64.2539,-15.2082,Hótel Höfn
274,Grafton,US,75.97,broken clouds,42.207,-71.6856,The Grafton Inn
275,Sitka,US,57.09,broken clouds,57.0531,-135.33,Westmark Sitka
276,Prainha,BR,76.1,broken clouds,-1.8,-53.48,Casa Rocha
277,Jiazi,CN,81.25,light rain,22.8779,116.06700000000001,Hotel Jin Hao
278,Carutapera,BR,75.87,scattered clouds,-1.195,-46.02,Lidera
281,Changuinola,PA,79.93,broken clouds,9.4333,-82.5167,ApartHotel Villa Esmeralda
282,Paracuru,BR,81.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
283,Baoding,CN,73.71,moderate rain,38.8511,115.4903,Xiu Lan Hotel
285,Katherine,AU,68.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
286,Palauig,PH,80.91,moderate rain,15.435,119.9045,Myhousebythesea
287,Hovd,MN,72.28,broken clouds,48.0056,91.6419,Hotel Khovd
288,Virginia Beach,US,87.82,clear sky,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
289,Gijon,ES,66.99,scattered clouds,43.5357,-5.6615,Miramar
290,Grand Gaube,MU,68.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
291,Yar-Sale,RU,55.15,overcast clouds,66.8333,70.8333,Yalemd
294,Krasnoarmeysk,RU,68.29,broken clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
295,Hay River,CA,76.98,smoke,60.8156,-115.7999,Ptarmigan Inn
